SRC_ID,Segment,8_name,12_code,TotDASqKm,slope,length,wbody,s_order,Stream Type,Bedform,Ph2SedReg,Class,ElevDS_m,L_m,DA      _sqkm,W_reg      _m,W_Ph2      _m,W_rat,D_reg     _m,D_mn     _m,D_rat,V_mps,Rh_m,D95_mm,D84_mm,D95toD50,D84toD50,TSP,SSPup,SSPcr_Soar_D84,SSPcr_Lea_D84,logValue_Lea,tau_cr_D84,S,VC,VC_rat,ER,WtoD,IR,d50_mm,d84_d16,nBars,nFCs,pArmor,SSP,SSP_bal,SSPcr_rat_Soar,SSP_exc_Soar,SSPcr_rat_Lea,SSP_exc_Lea,RR,SSPtoD50,SSPfrXSsprdsht,Differen_SSP,RPD_SSP
85,19_M06B,mettawee,0201,108.7,0.004,921.7,FALSE,1,C4,Riffle Pool,FSTCD,4,194.5,921.7,108.7,20.7,21.0,1.0,0.898,0.643,0.716,0.92,0.63,232.1,187.2,4.4,3.6,1070.5,50.9,346.0,670.1,694.9,118.9,0.400,7.3,0.4,4.4,32.8,1.4,52.3,180.9,8.7,2.2,0.30,51.8,1.02,0.15,-294.2084993,0.08,-618.3,3.35,989.8,22.8,-29.0,-56.1
86,19_M07A,mettawee,0201,105.8,0.004,2481,FALSE,1,C3,Riffle Pool,CEFD,5,197.8,2481.0,105.8,20.4,15.0,0.7,0.891,0.829,0.931,1.04,0.79,383.5,237.5,2.1,1.3,1040.8,68.1,823.5,808.5,250.6,150.9,0.400,18.3,0.5,10.1,18.3,1.0,184.1,230.4,4.0,0.8,0.37,50.9,0.75,0.06,-772.509952,0.06,-757.6,3.32,276.8,32.3,-18.6,-36.6
87,19_M07B,mettawee,0201,88.2,0.006,2418.5,FALSE,1,C3,Plane Bed,FSTCD,4,208.2,2418.5,88.2,18.9,11.2,0.6,0.843,1.128,1.337,1.67,1.04,252.3,232.7,1.4,1.3,1284.1,47.7,738.3,879.6,186.2,165.6,0.600,38.3,3.7,38.3,9.9,1.4,181.3,186.8,3.7,0.8,0.53,68.1,1.43,0.09,-670.2323838,0.08,-811.5,4.47,375.7,102.0,33.8,49.7
88,19_M07T04.01-,mettawee,0201,11.7,0.02546473,1196.9,FALSE,1,F3b,Plane Bed,UST,3,225.5,1196.9,11.7,7.7,6.3,0.8,0.460,0.320,0.696,0.92,0.29,452.4,252.3,2.3,1.3,625.9,116.4,582.5,1459.2,65.8,269.1,2.546,9.7,0.8,1.5,19.6,3.5,196.6,244.3,11.7,0.8,0.06,80.8,0.69,0.14,-501.6282679,0.06,-1378.3,1.16,411.3,67.6,-13.3,-16.4
89,19_M08-,mettawee,0201,71.7,0.004788674,2927.8,FALSE,1,C4,Riffle Pool,CEFD,5,223.7,2927.8,71.7,17.2,14.8,0.9,0.793,0.506,0.638,0.77,0.49,242.0,207.2,4.7,4.0,821.8,78.1,367.0,840.2,686.4,138.5,0.479,10.3,0.5,6.2,29.2,1.0,51.5,205.6,15.7,1.4,0.22,47.7,0.61,0.13,-319.2384244,0.06,-792.5,2.37,926.4,17.6,-30.1,-63.0
90,19_M08T05.01A,mettawee,0201,6.7,0.03,303.6,FALSE,1,C4b,Plane Bed,FSTCD,4,237.7,303.6,6.7,6.1,5.3,0.9,0.389,0.405,1.042,1.00,0.37,465.0,376.2,7.6,6.1,406.8,198.1,461.2,3831.5,279.7,420.2,3.000,22.9,12.9,40.0,13.5,1.6,61.2,369.5,13.2,0.0,0.55,67.1,0.34,0.15,-394.0822599,0.02,-3764.4,1.00,1095.6,110.5,43.4,64.7
91,19_M08T05.01B,mettawee,0201,6.6,0.089,1648.9,FALSE,1,A1,Bedrock,TR,1,246.9,1648.9,6.6,6.0,6.0,1.0,0.388,0.388,1,,,3691.5,2936.7,15.7,12.5,1197.2,61.7,4643.6,130288.7,260.7,4447,8.900,1.8,0.2,1.6,12.0,1.0,234.4,2740.9,0.0,0.0,0,198.1,3.21,0.04,-4445.490078,0.00,-130090.6,,845.2,,-198.1,-100.0
92,19_M09-,mettawee,0201,56.8,0.009078529,2014.3,FALSE,1,C4,Riffle Pool,CEFD,5,237.7,2014.3,56.8,15.5,14.0,0.9,0.739,0.689,0.932,1.39,0.66,248.9,213.2,4.5,3.9,1214.0,70.1,341.3,1058.4,415.1,170.3,0.908,19.6,0.8,24.0,20.3,1.0,55.3,205.6,27.8,4.0,0.20,78.1,1.11,0.23,-263.1213899,0.07,-980.2,3.09,1413.1,81.4,3.3,4.2
93,19_M10A,mettawee,0201,35.3,0.011,345.6,FALSE,1,C4,Riffle Pool,CEFD,5,256.0,345.6,35.3,12.6,14.0,1.1,0.641,0.689,1.075,1.53,0.66,248.9,213.2,4.5,3.9,883.7,50.9,326.3,1120.9,361.5,179.7,1.100,25.1,0.6,24.0,20.3,1.0,55.3,205.6,26.0,2.9,0.14,70.1,1.38,0.21,-256.1881927,0.06,-1050.8,3.09,1268.4,108.6,38.5,54.8
94,19_M10B,mettawee,0201,35.2,0.008,182,FALSE,1,F4,Plane Bed,UST,3,260.0,182.0,35.2,12.6,9.5,0.8,0.640,0.607,0.947,1.14,0.57,362.0,214.7,7.0,4.1,641.3,50.8,342.9,1041.1,486.9,165.6,0.800,41.7,1.3,1.1,15.7,2.2,52.0,208.3,16.5,0.0,0.32,50.9,1.00,0.15,-291.9267721,0.05,-990.2,2.66,979.7,51.1,0.2,0.3
